Date : 2026-05-29 18:16:40
Directory : c:\Users\oggy_\Develop\Repos\Harite
Total : 316 files,  35607 codes, 590 comments, 10681 blanks, all 46878 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\meta\xfce-heuristics-notes.md                                     | Markdown     |         39 |          0 |         24 |         63 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\misc\xfce-followup-log.md                                         | Markdown     |         80 |          0 |         25 |        105 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\misc\xfce-rollback-playbook.md                                    | Markdown     |         85 |          0 |         35 |        120 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\misc\xfce-testing.md                                              | Markdown     |         86 |          0 |         39 |        125 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\pr_bodies\PR_37_body.md                                           | Markdown     |         20 |          0 |         14 |         34 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\branch-policy\branch-operations-policy.md                                                | Markdown     |         77 |          0 |         33 |        110 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\branch-policy\branch-policy-enumerator-applied.md                                        | Markdown     |         57 |          0 |          8 |         65 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\branch-policy\branch-policy-replacements.md                                              | Markdown     |          1 |          0 |          1 |          2 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\branch-policy\branch-policy.md                                                           | Markdown     |         54 |          0 |         36 |         90 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\branch-policy\branching-charter.md                                                       | Markdown     |         12 |          0 |          9 |         21 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\ci-strategy.md                                                                           | Markdown     |         38 |          0 |         18 |         56 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\ci-workflows.md                                                                          | Markdown     |         56 |          0 |         37 |         93 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\dev\dev-environment.md                                                                   | Markdown     |         56 |          0 |         28 |         84 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\dev\development-checklist.md                                                             | Markdown     |         73 |          0 |         34 |        107 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\git-operation-help\draft-to-branch.md                                                    | Markdown     |         45 |          0 |         21 |         66 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\git-operation-help\dual-local-sync-check.md                                              | Markdown     |         55 |          0 |         31 |         86 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\git-operation-help\fix-branch-name-pr.md                                                 | Markdown     |         56 |          0 |         31 |         87 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\git-operation-help\fix-mistyped-push-ref.md                                              | Markdown     |         51 |          0 |         30 |         81 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\git-operation-help\operations-recovery-backlog.md                                        | Markdown     |         99 |          0 |         25 |        124 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\git-operation-help\recover-main-miscommit.md                                             | Markdown     |         94 |          0 |         55 |        149 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\git-operation-help\release-and-tag.md                                                    | Markdown     |         59 |          0 |         22 |         81 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\git-operation-help\safe-squash-merge.md                                                  | Markdown     |        114 |          0 |         53 |        167 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\git-operation-help\task-template-mini.md                                                 | Markdown     |         44 |          0 |         27 |         71 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\manual-validation-gate.md                                                                | Markdown     |        192 |          0 |         81 |        273 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\pr-flow.md                                                                               | Markdown     |         39 |          0 |         17 |         56 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\premium-request-savings.md                                                               | Markdown     |         82 |          0 |         42 |        124 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\reformation\harite-project-initial-build-reformation-linux-xdg-launcher.md               | Markdown     |         59 |          0 |         30 |         89 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\reformation\harite-project-initial-build-reformation-ws1-code-residue-inventory.md       | Markdown     |        120 |          0 |         56 |        176 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\reformation\harite-project-initial-build-reformation-ws1-release-prep.md                 | Markdown     |        124 |          0 |         51 |        175 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\reformation\harite-project-initial-build-reformation-ws10-feature-overview.md            | Markdown     |        111 |          0 |         50 |        161 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\reformation\harite-project-initial-build-reformation-ws2-packaging-release.md            | Markdown     |        177 |          0 |         56 |        233 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\reformation\harite-project-initial-build-reformation-ws3-docs-reformation.md             | Markdown     |        135 |          0 |         65 |        200 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\reformation\harite-project-initial-build-reformation-ws4-spec-authoring.md               | Markdown     |         65 |          0 |         29 |         94 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\reformation\harite-project-initial-build-reformation-ws4-spec-structure-draft.md         | Markdown     |        450 |          0 |        130 |        580 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\reformation\harite-project-initial-build-reformation-ws5-internal-issues-overview.md     | Markdown     |        164 |          0 |         66 |        230 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\reformation\harite-project-initial-build-reformation-ws5-terminology-drift-inventory.md  | Markdown     |         94 |          0 |         29 |        123 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\reformation\harite-project-initial-build-reformation-ws6-cli-internal-issues.md          | Markdown     |        205 |          0 |         72 |        277 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\reformation\harite-project-initial-build-reformation.md                                  | Markdown     |        162 |          0 |         82 |        244 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\release-delivery.md                                                                      | Markdown     |        100 |          0 |         38 |        138 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\release-notes-draft.md                                                                   | Markdown     |         49 |          0 |         24 |         73 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\release-readiness-checklist.md                                                           | Markdown     |         75 |          0 |         27 |        102 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\specs\cli\harite-cli-spec.md                                                             | Markdown     |        188 |          0 |         65 |        253 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\specs\core\harite-core-spec.md                                                           | Markdown     |        223 |          0 |         77 |        300 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\specs\docstring-plan.md                                                                  | Markdown     |         26 |          0 |         11 |         37 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\specs\gui\harite-gui-spec.md                                                             | Markdown     |        263 |          0 |         70 |        333 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\specs\harite-foundation-spec.md                                                          | Markdown     |        177 |          0 |         56 |        233 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\specs\plugins\harite-plugin-spec.md                                                      | Markdown     |        101 |          0 |         42 |        143 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\specs\slideshow\harite-slideshow-spec.md                                                 | Markdown     |        166 |          0 |         65 |        231 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\specs\upstream-core-mapping.md                                                           | Markdown     |         45 |          0 |         20 |         65 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\specs\upstream-full-analysis.md                                                          | Markdown     |         63 |          0 |         30 |         93 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\templates\gui-manual-validation-report.md                                                | Markdown     |         26 |          0 |         11 |         37 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\tests\overview.md                                                                        | Markdown     |         40 |          0 |         17 |         57 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\tests\policy_derivation.md                                                               | Markdown     |         27 |          0 |         14 |         41 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\tests\proposals.md                                                                       | Markdown     |         23 |          0 |         12 |         35 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\tests\test-replacements.md                                                               | Markdown     |          1 |          0 |          1 |          2 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\tests\test-replacements2.md                                                              | Markdown     |          1 |          0 |          1 |          2 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\tests\test-replacements3.md                                                              | Markdown     |          1 |          0 |          1 |          2 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\tests\test_core_features.md                                                              | Markdown     |         28 |          0 |         15 |         43 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\tests\tests-overview.md                                                                  | Markdown     |         51 |          0 |         24 |         75 |
| c:\Users\oggy_\Develop\Repos\Harite\pytest.ini                                                                                    | Ini          |          9 |          0 |          1 |         10 |
| c:\Users\oggy_\Develop\Repos\Harite\scripts\README.md                                                                             | Markdown     |         30 |          0 |         20 |         50 |
| c:\Users\oggy_\Develop\Repos\Harite\scripts\apply_docs_replacements.py                                                            | Python       |         69 |         16 |         20 |        105 |
| c:\Users\oggy_\Develop\Repos\Harite\scripts\check_images.py                                                                       | Python       |         13 |          0 |          3 |         16 |
| c:\Users\oggy_\Develop\Repos\Harite\scripts\check_utf8.py                                                                         | Python       |         13 |          1 |          1 |         15 |
| c:\Users\oggy_\Develop\Repos\Harite\scripts\check_xfce_last_image_paths.py                                                        | Python       |         50 |          5 |         15 |         70 |
| c:\Users\oggy_\Develop\Repos\Harite\scripts\collect_xfce_logs.sh                                                                  | Shell Script |         42 |          7 |         12 |         61 |
| c:\Users\oggy_\Develop\Repos\Harite\scripts\decode_b64.py                                                                         | Python       |         20 |          0 |          6 |         26 |
| c:\Users\oggy_\Develop\Repos\Harite\scripts\extract_logs.py                                                                       | Python       |         48 |          1 |         10 |         59 |
| c:\Users\oggy_\Develop\Repos\Harite\scripts\fix_enumerators.py                                                                    | Python       |         70 |         12 |         16 |         98 |
| c:\Users\oggy_\Develop\Repos\Harite\scripts\gui_layout_smoke.py                                                                   | Python       |        462 |          9 |         79 |        550 |
| c:\Users\oggy_\Develop\Repos\Harite\scripts\print_harite_logs.py                                                                  | Python       |         10 |          0 |          1 |         11 |
| c:\Users\oggy_\Develop\Repos\Harite\scripts\run_xfce_followup.sh                                                                  | Shell Script |        121 |          5 |         21 |        147 |
| c:\Users\oggy_\Develop\Repos\Harite\scripts\show_extracted_dirs.py                                                                | Python       |         17 |          0 |          1 |         18 |
| c:\Users\oggy_\Develop\Repos\Harite\scripts\xfce_smoke_runner.py                                                                  | Python       |        145 |          7 |         27 |        179 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\__init__.py                                                                        | Python       |          4 |          1 |          2 |          7 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\apply_settings.py                                                                  | Python       |         42 |          0 |         10 |         52 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\cli.py                                                                             | Python       |        465 |         37 |         60 |        562 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\core.py                                                                            | Python       |        538 |        154 |         92 |        784 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\display_context.py                                                                 | Python       |         79 |          0 |         23 |        102 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\__init__.py                                                                    | Python       |          0 |          1 |          1 |          2 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\__init__.py                                                           | Python       |          0 |          1 |          1 |          2 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_backend.py                                                        | Python       |      1,016 |         17 |        190 |      1,223 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_dialog_builders.py                                                | Python       |        225 |          0 |         20 |        245 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_layout_builders.py                                                | Python       |        149 |          0 |         45 |        194 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_builders.py                                               | Python       |         29 |          0 |          3 |         32 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_dialogs.py                                                | Python       |        857 |          6 |        133 |        996 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_file_dialog_flow.py                                       | Python       |        273 |          0 |         61 |        334 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_margin_text.py                                            | Python       |         25 |          0 |          7 |         32 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_margin_text_gtk.py                                        | Python       |         38 |          0 |          8 |         46 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_object_registry.py                                        | Python       |        202 |          0 |         15 |        217 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_owner_sync.py                                             | Python       |         35 |          0 |         13 |         48 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_preview.py                                                | Python       |        147 |          0 |         26 |        173 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_save_path_access.py                                       | Python       |         37 |          0 |         14 |         51 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_settings_dialogs.py                                       | Python       |        401 |          0 |         71 |        472 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_signal_wiring.py                                          | Python       |        115 |          3 |         17 |        135 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_slideshow.py                                              | Python       |         89 |          0 |         23 |        112 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_slideshow_ui.py                                           | Python       |        103 |          0 |         22 |        125 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_state_labels.py                                           | Python       |         40 |          0 |         11 |         51 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_sync.py                                                   | Python       |        153 |          0 |         32 |        185 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_runtime_widget_access.py                                          | Python       |         94 |          0 |         27 |        121 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\gtk_tab_builders.py                                                   | Python       |        755 |          0 |         83 |        838 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\tasktray_adapter.py                                                   | Python       |        229 |          0 |         51 |        280 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\adapters\ui_adapter.py                                                         | Python       |         78 |          8 |         14 |        100 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\app.py                                                                         | Python       |        120 |          3 |         37 |        160 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\controllers\optimize_controller.py                                             | Python       |        129 |          2 |         25 |        156 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resource_access.py                                                             | Python       |         15 |          3 |          6 |         24 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resources\README.md                                                            | Markdown     |         11 |          0 |          6 |         17 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resources\icons\lucide\arrow-down.svg                                          | XML          |         14 |          0 |          1 |         15 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resources\icons\lucide\arrow-left.svg                                          | XML          |         14 |          0 |          1 |         15 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resources\icons\lucide\arrow-right.svg                                         | XML          |         14 |          0 |          1 |         15 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resources\icons\lucide\arrow-up.svg                                            | XML          |         14 |          0 |          1 |         15 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resources\icons\lucide\circle-help.svg                                         | XML          |          5 |          0 |          0 |          5 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resources\icons\lucide\folder-open.svg                                         | XML          |         13 |          0 |          1 |         14 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resources\icons\lucide\folder-x.svg                                            | XML          |         15 |          0 |          1 |         16 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resources\icons\lucide\image-down.svg                                          | XML          |         17 |          0 |          1 |         18 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resources\icons\lucide\image.svg                                               | XML          |         15 |          0 |          1 |         16 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resources\icons\lucide\info.svg                                                | XML          |          5 |          0 |          0 |          5 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resources\icons\lucide\palette.svg                                             | XML          |          6 |          0 |          0 |          6 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resources\icons\lucide\pause.svg                                               | XML          |         14 |          0 |          1 |         15 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resources\icons\lucide\play.svg                                                | XML          |         13 |          0 |          1 |         14 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resources\icons\lucide\save.svg                                                | XML          |         15 |          0 |          1 |         16 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resources\icons\lucide\settings.svg                                            | XML          |         11 |          0 |          0 |         11 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resources\icons\lucide\wallpaper.svg                                           | XML          |         17 |          0 |          1 |         18 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resources\icons\product\harite.svg                                             | XML          |         28 |          0 |          0 |         28 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resources\icons\product\harite_app.svg                                         | XML          |         30 |          0 |          2 |         32 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resources\icons\product\harite_off.svg                                         | XML          |         29 |          0 |          0 |         29 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\services\cli_mapper.py                                                         | Python       |         61 |          2 |          9 |         72 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\views\main_window.py                                                           | Python       |      1,222 |         17 |        175 |      1,414 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\views\main_window_preview.py                                                   | Python       |        115 |          0 |         23 |        138 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\linux_xdg_launcher.py                                                              | Python       |         54 |          0 |         15 |         69 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\optimize_settings.py                                                               | Python       |         47 |          0 |         18 |         65 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\plugins.py                                                                         | Python       |        386 |         93 |         74 |        553 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\positioning.py                                                                     | Python       |         49 |          0 |         24 |         73 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\settings.py                                                                        | Python       |        147 |          0 |         25 |        172 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\settings_file.py                                                                   | Python       |         27 |          0 |          7 |         34 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\slideshow.py                                                                       | Python       |         81 |         11 |         21 |        113 |
| c:\Users\oggy_\Develop\Repos\Harite\src\harite\workspace.py                                                                       | Python       |        113 |         28 |         15 |        156 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\cli\test_apply_cli.py                                                                   | Python       |         63 |          0 |         22 |         85 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\cli\test_cli_replacements.py                                                            | Python       |         35 |          2 |          9 |         46 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\cli\test_cli_validation.py                                                              | Python       |        626 |          0 |        166 |        792 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\cli\test_desktop_entry_cli.py                                                           | Python       |         78 |          0 |         26 |        104 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\cli\test_slideshow_cli.py                                                               | Python       |        611 |          1 |        158 |        770 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\conftest.py                                                                             | Python       |         27 |          6 |          8 |         41 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\core\test_align_valign.py                                                               | Python       |         52 |          8 |         22 |         82 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\core\test_core.py                                                                       | Python       |         42 |          3 |         13 |         58 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\core\test_core_edgecases.py                                                             | Python       |         45 |          6 |         22 |         73 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\core\test_core_features.py                                                              | Python       |        272 |          4 |         76 |        352 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\core\test_core_twoscreen.py                                                             | Python       |         23 |          3 |          6 |         32 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\core\test_split_image.py                                                                | Python       |         38 |          3 |         15 |         56 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\data\README.md                                                                          | Markdown     |         11 |          0 |          6 |         17 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\fixtures\sample_enumerators.md                                                          | Markdown     |          3 |          0 |          2 |          5 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\fixtures\sample_no_change.md                                                            | Markdown     |          4 |          0 |          3 |          7 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_app_entrypoint.py                                                              | Python       |        328 |          2 |        153 |        483 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_cli_mapper.py                                                                  | Python       |         49 |          0 |         14 |         63 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_gtk_runtime_backend.py                                                         | Python       |      2,571 |          0 |        935 |      3,506 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_main_window_signals.py                                                         | Python       |      1,436 |          2 |        462 |      1,900 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_optimize_controller.py                                                         | Python       |        147 |          0 |         52 |        199 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_phase4_regression.py                                                           | Python       |         80 |          0 |         27 |        107 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_phase5_visual_regression.py                                                    | Python       |         78 |          0 |         21 |         99 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_runtime_preview.py                                                             | Python       |        107 |          0 |         55 |        162 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_tasktray_adapter.py                                                            | Python       |         77 |          0 |         38 |        115 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_ui_adapter_backend_connect.py                                                  | Python       |        133 |          0 |         49 |        182 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\integration\test_src_smoke.py                                                           | Python       |         17 |          0 |          6 |         23 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\integration\test_xfce_smoke_runner.py                                                   | Python       |         19 |          0 |          9 |         28 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\integration\test_xfconf_repro.py                                                        | Python       |         36 |         10 |         15 |         61 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\plugins\test_plugins.py                                                                 | Python       |         65 |          5 |         25 |         95 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\plugins\test_plugins_feh_non_dry_run.py                                                 | Python       |         19 |          1 |          9 |         29 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\plugins\test_plugins_gnome_non_dry_run.py                                               | Python       |         19 |          2 |          9 |         30 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\plugins\test_plugins_linux_absolute_paths.py                                            | Python       |         25 |          1 |         12 |         38 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\plugins\test_plugins_linux_mapping.py                                                   | Python       |         26 |          1 |          9 |         36 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\plugins\test_plugins_xfce_non_dry_run.py                                                | Python       |         20 |          5 |          9 |         34 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\plugins\test_plugins_xfconf.py                                                          | Python       |         63 |          9 |         31 |        103 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\plugins\test_plugins_xfconf_aliases.py                                                  | Python       |         19 |          5 |         12 |         36 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\plugins\test_plugins_xfconf_composite.py                                                | Python       |         22 |          3 |         12 |         37 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\plugins\test_plugins_xfconf_extra.py                                                    | Python       |         54 |          6 |         32 |         92 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\plugins\test_plugins_xfconf_index_mapping.py                                            | Python       |         22 |          3 |         12 |         37 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\plugins\test_plugins_xfconf_position.py                                                 | Python       |         22 |          3 |         12 |         37 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\plugins\test_plugins_xfconf_position_edgecases.py                                       | Python       |         37 |          6 |         20 |         63 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\plugins\test_plugins_xfconf_position_threshold.py                                       | Python       |         22 |          3 |         12 |         37 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\plugins\test_plugins_xfconf_resolution_mapping.py                                       | Python       |         19 |          3 |         12 |         34 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\regression\test_regression_extra.py                                                     | Python       |         57 |          2 |         20 |         79 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\regression\test_regression_more.py                                                      | Python       |         38 |          2 |         10 |         50 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\regression\test_regression_parity.py                                                    | Python       |         27 |          3 |          9 |         39 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\scripts\test_gui_layout_smoke.py                                                        | Python       |        601 |          1 |         64 |        666 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\slideshow\test_slideshow_runner.py                                                      | Python       |        108 |          0 |         47 |        155 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\test_apply_settings.py                                                                  | Python       |         51 |          0 |         16 |         67 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\test_display_context.py                                                                 | Python       |         63 |          0 |         27 |         90 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\test_optimize_settings.py                                                               | Python       |         40 |          0 |          8 |         48 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\test_preferences.py                                                                     | Python       |         31 |          0 |          4 |         35 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\test_settings_canonical_guard.py                                                        | Python       |         31 |          0 |         13 |         44 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\workspace\test_detect_displays_param.py                                                 | Python       |         34 |         15 |          6 |         55 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\workspace\test_workspace.py                                                             | Python       |         66 |          3 |         23 |         92 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\workspace\test_workspace_detect.py                                                      | Python       |         19 |          0 |          7 |         26 |
| c:\Users\oggy_\Develop\Repos\Harite\tests\workspace\test_workspace_parser.py                                                      | Python       |         45 |          2 |         17 |         64 |
| Total                                                                                                                             |              |     35,607 |        590 |     10,681 |     46,878 |
+-----------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
