Date : 2026-05-29 18:16:40
Directory : c:\Users\oggy_\Develop\Repos\Harite
Total : 316 files,  35607 codes, 590 comments, 10681 blanks, all 46878 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| filename                                                                                                                          | language     | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| c:\Users\oggy_\Develop\Repos\Harite\.github\.copilot-instructions.md                                                              | Markdown     |         46 |          0 |         30 |         76 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\PR_BODY.md                                                                            | Markdown     |         24 |          0 |         10 |         34 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\PULL_REQUEST_TEMPLATE.md                                                              | Markdown     |         17 |          1 |         14 |         32 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\agents\speckit.analyze.agent.md                                                       | Markdown     |        118 |          0 |         67 |        185 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\agents\speckit.checklist.agent.md                                                     | Markdown     |        231 |          0 |         65 |        296 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\agents\speckit.clarify.agent.md                                                       | Markdown     |        150 |          0 |         32 |        182 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\agents\speckit.constitution.agent.md                                                  | Markdown     |         64 |          0 |         21 |         85 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\agents\speckit.implement.agent.md                                                     | Markdown     |        111 |          0 |         25 |        136 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\agents\speckit.plan.agent.md                                                          | Markdown     |         67 |          0 |         24 |         91 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\agents\speckit.specify.agent.md                                                       | Markdown     |        196 |          0 |         63 |        259 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\agents\speckit.tasks.agent.md                                                         | Markdown     |        109 |          0 |         29 |        138 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\agents\speckit.taskstoissues.agent.md                                                 | Markdown     |         21 |          0 |         10 |         31 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\branch-protection.json                                                                | JSON         |         14 |          0 |          1 |         15 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\prompts\speckit.analyze.prompt.md                                                     | Markdown     |          3 |          0 |          1 |          4 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\prompts\speckit.checklist.prompt.md                                                   | Markdown     |          3 |          0 |          1 |          4 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\prompts\speckit.clarify.prompt.md                                                     | Markdown     |          3 |          0 |          1 |          4 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\prompts\speckit.constitution.prompt.md                                                | Markdown     |          3 |          0 |          1 |          4 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\prompts\speckit.implement.prompt.md                                                   | Markdown     |          3 |          0 |          1 |          4 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\prompts\speckit.plan.prompt.md                                                        | Markdown     |          3 |          0 |          1 |          4 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\prompts\speckit.specify.prompt.md                                                     | Markdown     |          3 |          0 |          1 |          4 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\prompts\speckit.tasks.prompt.md                                                       | Markdown     |          3 |          0 |          1 |          4 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\prompts\speckit.taskstoissues.prompt.md                                               | Markdown     |          3 |          0 |          1 |          4 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\scripts\monitor_ci.ps1                                                                | PowerShell   |         33 |          0 |          1 |         34 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\workflows\branch-cleanup.yml                                                          | YAML         |         83 |          0 |         16 |         99 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\workflows\ci.yml                                                                      | YAML         |         66 |          0 |         16 |         82 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\workflows\coverage.yml                                                                | YAML         |         35 |          0 |          8 |         43 |
| c:\Users\oggy_\Develop\Repos\Harite\.github\workflows\docs-diff-check.yml                                                         | YAML         |         56 |          0 |          9 |         65 |
