"filename", "language", "YAML", "PowerShell", "Markdown", "JSON", "Python", "HTML", "Ini", "Shell Script", "XML", "comment", "blank", "total"
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\consolidation\docs-consolidation-replacement-preview.md", "Markdown", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 13, 37
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\consolidation\docs-consolidation-scan.md", "Markdown", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 8, 23
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\consolidation\followup-replacements.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\cli\cli-compatibility.md", "Markdown", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 27, 87
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\cli\cli-top5-priority-options.md", "Markdown", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 40, 120
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\core\core-io-examples.md", "Markdown", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 14, 51
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\core\core-io.md", "Markdown", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 33, 118
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\core\harite-foundation-spec.md", "Markdown", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 21, 75
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\core\margin-info-embedding.md", "Markdown", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 35, 122
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\core\monitor-split-design.md", "Markdown", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 31, 112
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\core\optimize-input-and-two-screen.md", "Markdown", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 28, 86
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-before-phase5-glade-layout-reconstruction.md", "Markdown", 0, 0, 181, 0, 0, 0, 0, 0, 0, 0, 62, 243
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-before-phase5-signal-mapping.md", "Markdown", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 42, 152
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-before-phase5-standalone-design.md", "Markdown", 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 69, 221
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase1-tasklist.md", "Markdown", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 21, 50
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase10-1st-planning.md", "Markdown", 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 46, 169
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase10-2nd-planning.md", "Markdown", 0, 0, 376, 0, 0, 0, 0, 0, 0, 0, 117, 493
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase10-3rd-planning.md", "Markdown", 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 44, 159
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase10-4th-planning.md", "Markdown", 0, 0, 219, 0, 0, 0, 0, 0, 0, 0, 95, 314
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase10-closing-check.md", "Markdown", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 35, 93
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase10-icon-html-mock-memo.md", "Markdown", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 30, 139
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase10-icon-mock.html", "HTML", 0, 0, 0, 0, 0, 668, 0, 0, 0, 0, 90, 758
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase10-iconset-comparison.md", "Markdown", 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 34, 182
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase10-layout-restructure-contract.md", "Markdown", 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 61, 226
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase10-visual-aid-xfce-validation-memo.md", "Markdown", 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 50, 169
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase11-1st-planning.md", "Markdown", 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 43, 174
"c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase11-2nd-planning.md", "Markdown", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 38, 128
