"filename", "language", "pip requirements", "Python", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\resources\icons\product\harite_off_light_bg.svg", "XML", 0, 0, 0, 29, 0, 1, 30
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\services\cli_mapper.py", "Python", 0, -9, 0, 0, 0, 0, -9
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\tray_icon_theme.py", "Python", 0, 58, 0, 0, 0, 17, 75
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\views\main_window.py", "Python", 0, -62, 0, 0, 0, -1, -63
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\views\main_window_preview.py", "Python", 0, -6, 0, 0, 0, 0, -6
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\gui\views\margins_options_drawer.py", "Python", 0, 5, 0, 0, 0, 1, 6
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\last_optimize_run.py", "Python", 0, 81, 0, 0, 0, 23, 104
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\optimize_settings.py", "Python", 0, 17, 0, 0, 0, -2, 15
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\settings.py", "Python", 0, -26, 0, 0, 0, -2, -28
"c:\Users\oggy_\Develop\Repos\Harite\src\harite\slideshow_optimize.py", "Python", 0, -16, 0, 0, 0, -2, -18
"c:\Users\oggy_\Develop\Repos\Harite\tests\cli\test_apply_cli.py", "Python", 0, 58, 0, 0, 0, 17, 75
"c:\Users\oggy_\Develop\Repos\Harite\tests\cli\test_cli_validation.py", "Python", 0, 27, 0, 0, 0, 11, 38
"c:\Users\oggy_\Develop\Repos\Harite\tests\cli\test_slideshow_cli.py", "Python", 0, 14, 0, 0, 0, 5, 19
"c:\Users\oggy_\Develop\Repos\Harite\tests\core\test_color_contrast.py", "Python", 0, 11, 0, 0, 0, 10, 21
"c:\Users\oggy_\Develop\Repos\Harite\tests\core\test_core.py", "Python", 0, 3, 0, 0, 0, 0, 3
"c:\Users\oggy_\Develop\Repos\Harite\tests\core\test_core_features.py", "Python", 0, 80, 0, 0, 1, 16, 97
"c:\Users\oggy_\Develop\Repos\Harite\tests\core\test_embed_info.py", "Python", 0, 61, 0, 0, 0, 18, 79
"c:\Users\oggy_\Develop\Repos\Harite\tests\gui\conftest.py", "Python", 0, 22, 0, 0, 0, 6, 28
"c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_cli_mapper.py", "Python", 0, -8, 0, 0, 0, 0, -8
"c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_main_window_signals.py", "Python", 0, -2, 0, 0, 0, 0, -2
"c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_margin_settings_preview.py", "Python", 0, 102, 0, 0, 0, 22, 124
"c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_optimize_controller.py", "Python", 0, -1, 0, 0, 0, 2, 1
"c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_p03_margin_embed.py", "Python", 0, 3, 0, 0, 0, 0, 3
"c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_phase4_regression.py", "Python", 0, -1, 0, 0, 0, 0, -1
"c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_qt_dialogs.py", "Python", 0, -6, 0, 0, 0, 0, -6
"c:\Users\oggy_\Develop\Repos\Harite\tests\gui\test_tray_icon_theme.py", "Python", 0, 75, 0, 0, 0, 44, 119
"c:\Users\oggy_\Develop\Repos\Harite\tests\regression\test_regression_extra.py", "Python", 0, -2, 0, 0, -1, 0, -3
"c:\Users\oggy_\Develop\Repos\Harite\tests\regression\test_regression_more.py", "Python", 0, 0, 0, 0, -1, 0, -1
