"filename", "language", "Ini", "pip requirements", "Markdown", "YAML", "Python", "JSON", "HTML", "XML", "comment", "blank", "total"
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260531-1530-windows-post-w03-status-and-w02-slideshow.md", "Markdown", 0, 0, -127, 0, 0, 0, 0, 0, 0, -59, -186
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260531-mat-10-kiriezu-source-planning.md", "Markdown", 0, 0, 225, 0, 0, 0, 0, 0, 0, 71, 296
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260531-w-03-b-lite-3layer-audit.md", "Markdown", 0, 0, -42, 0, 0, 0, 0, 0, 0, -15, -57
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260608-1200-feature-pending.md", "Markdown", 0, 0, 46, 0, 0, 0, 0, 0, 0, 22, 68
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260609-1200-feature-overview.md", "Markdown", 0, 0, 60, 0, 0, 0, 0, 0, 0, 28, 88
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260609-mat-02b-slideshow-remote-stability.md", "Markdown", 0, 0, 42, 0, 0, 0, 0, 0, 0, 20, 62
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260609-mat-08-viper3-slideshow-op-observation.md", "Markdown", 0, 0, 83, 0, 0, 0, 0, 0, 0, 35, 118
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260609-mat-15-core-geometry-audit.md", "Markdown", 0, 0, 78, 0, 0, 0, 0, 0, 0, 35, 113
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260610-mat-08-viper3-slideshow-op2-observation.md", "Markdown", 0, 0, 73, 0, 0, 0, 0, 0, 0, 27, 100
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260610-mat-08-viper3-slideshow-op3-observation.md", "Markdown", 0, 0, 65, 0, 0, 0, 0, 0, 0, 25, 90
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260610-q01-gtk-deprecation-planning.md", "Markdown", 0, 0, 254, 0, 0, 0, 0, 0, 0, 68, 322
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\20260610-v2-roadmap-op3-planning.md", "Markdown", 0, 0, 86, 0, 0, 0, 0, 0, 0, 39, 125
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\README.md", "Markdown", 0, 0, 21, 0, 0, 0, 0, 0, 0, 12, 33
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\20260601-c02-slideshow-source-registry-slice-memo.md", "Markdown", 0, 0, 71, 0, 0, 0, 0, 0, 0, 34, 105
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\20260601-c02-slideshow-source-registry-slice.html", "HTML", 0, 0, 0, 0, 0, 0, 486, 0, 5, 63, 554
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\20260601-p01-p02-lr-swap-clear-slice-memo.md", "Markdown", 0, 0, 57, 0, 0, 0, 0, 0, 0, 26, 83
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\20260601-p01-p02-lr-swap-clear-slice.html", "HTML", 0, 0, 0, 0, 0, 0, 351, 0, 2, 42, 395
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\20260604-c04-slideshow-margins-surface-slice-memo.md", "Markdown", 0, 0, 65, 0, 0, 0, 0, 0, 0, 38, 103
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\20260604-c04-slideshow-margins-surface-slice.html", "HTML", 0, 0, 0, 0, 0, 0, 375, 0, 4, 25, 404
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\20260604-glade2-legacy-interpretation-memo.md", "Markdown", 0, 0, 114, 0, 0, 0, 0, 0, 0, 48, 162
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\20260605-c01-e-kw-manage-keyword-slice-memo.md", "Markdown", 0, 0, 41, 0, 0, 0, 0, 0, 0, 19, 60
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\20260605-c01-e-kw-manage-keyword-slice.html", "HTML", 0, 0, 0, 0, 0, 0, 131, 0, 0, 1, 132
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\20260608-p08-main-margins-drawer-slice-memo.md", "Markdown", 0, 0, 44, 0, 0, 0, 0, 0, 0, 14, 58
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\20260609-mat-01b-native-placement-repair-draft.md", "Markdown", 0, 0, 112, 0, 0, 0, 0, 0, 0, 49, 161
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\README.md", "Markdown", 0, 0, 27, 0, 0, 0, 0, 0, 0, 7, 34
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\gui-phase10-icon-mock-memo.md", "Markdown", 0, 0, 113, 0, 0, 0, 0, 0, 0, 32, 145
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\design\gui-phase10-icon-mock.html", "HTML", 0, 0, 0, 0, 0, 0, 668, 0, 0, 90, 758
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260518-2047-feature-overview.md", "Markdown", 0, 0, 57, 0, 0, 0, 0, 0, 0, 21, 78
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260530-1509-specs-checking-from-cursor.md", "Markdown", 0, 0, 221, 0, 0, 0, 0, 0, 0, 67, 288
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260530-2201-pyqt6-migration-plan.md", "Markdown", 0, 0, 281, 0, 0, 0, 0, 0, 0, 107, 388
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260530-2333-qt-backend-setup.md", "Markdown", 0, 0, 109, 0, 0, 0, 0, 0, 0, 49, 158
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260531-0843-qt-phase8-3layer-audit.md", "Markdown", 0, 0, 129, 0, 0, 0, 0, 0, 0, 49, 178
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260531-1200-windows-qt-validation-backlog.md", "Markdown", 0, 0, 77, 0, 0, 0, 0, 0, 0, 30, 107
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260531-1530-windows-post-w03-status-and-w02-slideshow.md", "Markdown", 0, 0, 127, 0, 0, 0, 0, 0, 0, 59, 186
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260531-w-03-b-lite-3layer-audit.md", "Markdown", 0, 0, 42, 0, 0, 0, 0, 0, 0, 15, 57
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260601-1400-c02-source-registry-planning.md", "Markdown", 0, 0, 152, 0, 0, 0, 0, 0, 0, 63, 215
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260601-c02-3layer-audit.md", "Markdown", 0, 0, 50, 0, 0, 0, 0, 0, 0, 17, 67
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260602-1400-c05-slideshow-source-enhancement-planning.md", "Markdown", 0, 0, 164, 0, 0, 0, 0, 0, 0, 73, 237
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260602-c02-real-device-observations.md", "Markdown", 0, 0, 27, 0, 0, 0, 0, 0, 0, 11, 38
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260602-c05-3layer-audit.md", "Markdown", 0, 0, 56, 0, 0, 0, 0, 0, 0, 17, 73
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260603-1400-c01-external-wallpaper-source-planning.md", "Markdown", 0, 0, 151, 0, 0, 0, 0, 0, 0, 52, 203
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260603-c01-3layer-audit.md", "Markdown", 0, 0, 70, 0, 0, 0, 0, 0, 0, 19, 89
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260603-c01-e-3layer-audit.md", "Markdown", 0, 0, 25, 0, 0, 0, 0, 0, 0, 13, 38
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260603-c01-e-codh-icp-inventory.md", "Markdown", 0, 0, 196, 0, 0, 0, 0, 0, 0, 73, 269
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260603-c01-e-merged-inventory.md", "Markdown", 0, 0, 59, 0, 0, 0, 0, 0, 0, 23, 82
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260603-c01-e-ndl-tsugidigi-inventory.md", "Markdown", 0, 0, 223, 0, 0, 0, 0, 0, 0, 87, 310
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260603-jma-weather-map-list-inventory.md", "Markdown", 0, 0, 140, 0, 0, 0, 0, 0, 0, 52, 192
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260604-c01-f-remote-sync-on-tick-planning-draft.md", "Markdown", 0, 0, 170, 0, 0, 0, 0, 0, 0, 98, 268
"c:\Users\oggy_\Develop\Repos\Harite\docs\working\finished\20260604-c04-gui-surface-planning-draft.md", "Markdown", 0, 0, 192, 0, 0, 0, 0, 0, 0, 90, 282
